"year","average.tenth","average.mean","average.nintieth","average.range","DJF","MAM","JJA","SON"
1976,79.9722222222222,102.771546378805,120.611111111111,40.6388888888889,5.2,8.3,17.8,10.1
1977,99.4,122.055178266177,139.383333333333,39.9833333333333,3.3,8.2,14.4,10.6
1978,97.6923076923077,120.52896924131,138.107692307692,40.4153846153846,4.1,8.3,14.5,11.5
1979,97.5822784810127,121.28142637647,138.607594936709,41.0253164556962,1.6,7.5,15,10.5
1980,94,121.522587644195,142.325301204819,48.3253012048193,4.6,8.2,14.8,10.1
1981,97.9302325581395,121.62482346192,139.56976744186,41.6395348837209,4.5,9,15,10.3
1982,90.5357142857143,113.995404608465,130.690476190476,40.1547619047619,2.6,8.8,15.9,10.8
1983,96.7555555555556,115.927953585635,129.733333333333,32.9777777777778,4.3,7.8,17.1,10.6
1984,92.5666666666667,115.023245664388,130.9,38.3333333333333,4.2,7.6,16.3,10.9
1985,100.097826086957,123.573491020788,141.782608695652,41.6847826086956,2.7,8,14.5,9.9
1986,97.1666666666667,121.363373184524,138.96875,41.8020833333333,2.9,7.3,14.8,10
1987,95.8712871287129,120.015361925331,138.465346534653,42.5940594059406,3.5,8.2,14.8,9.9
1988,90.8888888888889,115.811629029911,134.157407407407,43.2685185185185,5.3,8.8,14.8,9.6
1989,82.6774193548387,106.678456376122,124.701612903226,42.0241935483871,6.5,9,16.5,10.9
1990,87.6287878787879,110.448331743083,127.886363636364,40.2575757575758,6.2,9.6,16.2,10.7
1991,101.840579710145,123.804153942617,139.601449275362,37.7608695652174,3,8.9,15.5,10.6
1992,86.9078947368421,110.617229110276,127.855263157895,40.9473684210526,4.6,9.9,15.7,9.5
1993,88.5506329113924,114.596405480486,134.563291139241,46.0126582278481,4.7,9.2,14.9,8.5
1994,93.9289940828402,115.773814439118,131.970414201183,38.0414201183432,4.7,8.8,16.2,11
1995,90.3917525773196,112.076330326891,127.484536082474,37.0927835051546,5.9,8.8,17.4,11.4
1996,96.9431279620853,119.049520493806,135.03317535545,38.0900473933649,3,7.4,15.8,10.4
1997,89.7735042735043,114.463735868839,132.410256410256,42.6367521367521,4,9.6,16.6,10.9
1998,93.1826086956522,117.68674484552,136.030434782609,42.8478260869565,6.1,9.6,15.2,10.6
1999,89.0403225806452,112.156560163118,129.552419354839,40.5120967741936,5.4,9.9,15.9,11.4
2000,89.3540145985401,114.594867986809,133.080291970803,43.7262773722628,5.4,9.2,15.7,10.7
2001,90.9153846153846,115.640591353339,134.011538461538,43.0961538461538,4.5,8.5,16.1,11.4
2002,92.616393442623,118.507923819789,137.081967213115,44.4655737704918,5.4,9.6,15.8,11
2003,85.367816091954,109.817929703241,128.045977011494,42.6781609195402,4.7,9.7,17.3,10.5
2004,88.7770897832817,115.203366134072,134.256965944272,45.4798761609907,5.1,9.3,16.2,11
2005,88.0699708454811,112.705387213668,132.137026239067,44.067055393586,5.2,9.2,16.2,11.5
2006,87.2752525252525,109.996079339765,127.396464646465,40.1212121212121,4.1,8.6,17.2,12.6
2007,84.2746113989637,112.04044666853,133.266839378238,48.9922279792746,6.4,10.1,15.2,10.7
2008,88.6413612565445,115.774459329262,136.256544502618,47.6151832460733,5.6,9.1,15.4,10.1
2009,82.7851662404092,108.45940046219,129.961636828645,47.1764705882353,3.5,9.7,15.8,11.5
2011,80.8056265984655,110.379676127098,134.337595907928,53.5319693094629,3.1,10.2,14.8,12.4
2012,93.5,131.160048623038,159.25,65.75,5.1,9.1,15.2,9.8
2013,95.2064676616915,117.929617995248,135.766169154229,40.5597014925373,3.8,6.9,16.3,10.8
2014,80.4966139954853,106.288626350972,125.532731376975,45.0361173814898,6.1,10,15.9,12.1
2015,85.7965367965368,111.318606024888,131.837662337662,46.0411255411255,4.5,8.7,15.3,11
