Year,DJF,MAM,JJA,SON
1976,5.2,8.3,17.8,10.1
1995,5.9,8.8,17.4,11.4
2003,4.7,9.7,17.3,10.5
2006,4.1,8.6,17.2,12.6
1983,4.3,7.8,17.1,10.6
1997,4,9.6,16.6,10.9
1989,6.5,9,16.5,10.9
2016,6.7,8.6,16.4,10.8
1984,4.2,7.6,16.3,10.9
2013,3.8,6.9,16.3,10.8
1990,6.2,9.6,16.2,10.7
1994,4.7,8.8,16.2,11
2004,5.1,9.3,16.2,11
2005,5.2,9.2,16.2,11.5
2001,4.5,8.5,16.1,11.4
1982,2.6,8.8,15.9,10.8
1999,5.4,9.9,15.9,11.4
2010,2.4,8.5,15.9,9.8
2014,6.1,10,15.9,12.1
1996,3,7.4,15.8,10.4
2002,5.4,9.6,15.8,11
2009,3.5,9.7,15.8,11.5
1992,4.6,9.9,15.7,9.5
2000,5.4,9.2,15.7,10.7
1991,3,8.9,15.5,10.6
2008,5.6,9.1,15.4,10.1
2015,4.5,8.7,15.3,11
1998,6.1,9.6,15.2,10.6
2007,6.4,10.1,15.2,10.7
2012,5.1,9.1,15.2,9.8
1979,1.6,7.5,15,10.5
1981,4.5,9,15,10.3
1993,4.7,9.2,14.9,8.5
1980,4.6,8.2,14.8,10.1
1986,2.9,7.3,14.8,10
1987,3.5,8.2,14.8,9.9
1988,5.3,8.8,14.8,9.6
2011,3.1,10.2,14.8,12.4
1978,4.1,8.3,14.5,11.5
1985,2.7,8,14.5,9.9
1977,3.3,8.2,14.4,10.6
